timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-100,text,false,,834,0,75,75,null,0,0,0
1642073209998,39583,HTTP Request CodeIgniter,200,OK,Thread Group 1-60,text,true,,311904,134,74,74,https://codeigniter.herebussiness.com/,3503,0,1490
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-60,text,false,,834,0,74,74,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-60,text,false,,834,0,74,74,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-60,text,false,,834,0,74,74,null,0,0,0
1642073210003,39635,HTTP Request CodeIgniter,200,OK,Thread Group 1-62,text,true,,311904,134,73,73,https://codeigniter.herebussiness.com/,3393,0,1469
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-62,text,false,,834,0,73,73,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-62,text,false,,834,0,73,73,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-62,text,false,,834,0,73,73,null,0,0,0
1642073209440,40446,HTTP Request CodeIgniter,200,OK,Thread Group 1-66,text,true,,311918,134,72,72,https://codeigniter.herebussiness.com/,3850,0,1328
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-66,text,false,,834,0,72,72,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-66,text,false,,834,0,72,72,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-66,text,false,,834,0,72,72,null,0,0,0
1642073210363,39534,HTTP Request CodeIgniter,200,OK,Thread Group 1-73,text,true,,311904,134,71,71,https://codeigniter.herebussiness.com/,6423,0,1437
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-73,text,false,,834,0,71,71,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-73,text,false,,834,0,71,71,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-73,text,false,,834,0,71,71,null,0,0,0
1642073209047,40925,HTTP Request CodeIgniter,200,OK,Thread Group 1-28,text,true,,311904,134,70,70,https://codeigniter.herebussiness.com/,11120,0,1153
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-28,text,false,,834,0,70,70,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-28,text,false,,834,0,70,70,null,0,0,0
